"omega","p0x","px0","n","lambda","bias_e","var_e","bias_a","var_a","bias_sq_e","bias_sq_a","mse_e","mse_a","mse_diff","bias_sq_diff","var_diff"
2,0.1,0.1,50,0.0218049470783874,-0.493679021730113,1.37937300586651,-0.581900467780925,1.41432386779534,0.243718976496402,0.338608154403659,1.62309198236291,1.75293202219899,0.129840039836083,0.0948891779072576,0.0349508619288252
2,0.1,0.1,55,0.0203681203069612,-0.507772070415563,1.36450461545077,-0.534473594966581,1.30108180055298,0.257832475494108,0.285662023716501,1.62233709094488,1.58674382426948,-0.0355932666753984,0.027829548222393,-0.0634228148977913
2,0.1,0.1,60,0.0191089453089691,-0.462798276947439,1.35152909647093,-0.49433088137417,1.20509455898238,0.214182245145519,0.244363020280164,1.56571134161645,1.44945757926254,-0.116253762353907,0.0301807751346448,-0.146434537488551
2,0.1,0.1,65,0.0179963925911291,-0.457091533708646,1.33367908032389,-0.459891380658869,1.12262320536211,0.208932670188122,0.211500082004321,1.54261175051202,1.33412328736643,-0.208488463145583,0.00256741181619902,-0.211055874961782
2,0.1,0.1,70,0.0170062614217157,-0.44752824771775,1.25852014748908,-0.430005407304141,1.05095091086193,0.20028153250532,0.1849046503108,1.4588016799944,1.23585556117273,-0.222946118821667,-0.0153768821945199,-0.207569236627148
2,0.1,0.1,75,0.0161193992598372,-0.42447660454094,1.21244263688632,-0.403815756890637,0.988052681449458,0.180180387802605,0.163067165513158,1.39262302468893,1.15111984696262,-0.241503177726311,-0.0171132222894475,-0.224389955436864
2,0.1,0.1,80,0.0153204507023662,-0.41372995344926,1.20306673964273,-0.380669582047873,0.932386242196491,0.171172474381126,0.144909330696502,1.37423921402386,1.07729557289299,-0.296943641130863,-0.0262631436846243,-0.270680497446239
2,0.1,0.1,85,0.0145969609076985,-0.406301990804879,1.17822678309831,-0.360060497303584,0.882754966319954,0.165081307732008,0.129643561718505,1.34330809083032,1.01239852803846,-0.330909562791861,-0.0354377460135032,-0.295471816778358
2,0.1,0.1,90,0.0139387216022214,-0.394585944967566,1.13820336064262,-0.341589417620872,0.838215320065956,0.155698067965947,0.116683330230567,1.29390142860856,0.954898650296523,-0.339002778312042,-0.0390147377353809,-0.299988040576661
2,0.1,0.1,95,0.0133372863998987,-0.374652893054269,1.14388662535596,-0.32493739032179,0.798012737306236,0.140364790273934,0.105584307629136,1.28425141562989,0.903597044935372,-0.380654370694518,-0.0347804826447983,-0.345873888049719
2,0.1,0.1,100,0.0127856064110108,-0.363374298737808,1.11203154052293,-0.309846325420443,0.761536179835764,0.132040880983194,0.096004745376551,1.24407242150613,0.857540925212315,-0.386531496293811,-0.0360361356066428,-0.350495360687168
2,0.1,0.1,105,0.0122777526942327,-0.331571790224337,1.05826187026467,-0.296105058296803,0.728285292733904,0.109939852072572,0.0876782055489528,1.16820172233725,0.815963498282857,-0.352238224054388,-0.0222616465236191,-0.329976577530769
2,0.1,0.1,110,0.0118087023281498,-0.329021699340787,1.01915003466894,-0.283539092289707,0.697846240997019,0.108255278637099,0.0803944168564708,1.12740531330604,0.778240657853489,-0.349164655452548,-0.0278608617806286,-0.321303793671919
2,0.1,0.1,115,0.011374171714962,-0.313204034553627,0.989762747812951,-0.272002931087822,0.669873649998873,0.0980967672606693,0.0739855945203665,1.08785951507362,0.74385924451924,-0.344000270554381,-0.0241111727403029,-0.319889097814078
2,0.1,0.1,120,0.0109704853819904,-0.328386524621158,0.997181875014806,-0.261374266047745,0.644076914777149,0.107837709552762,0.0683165069519975,1.10501958456757,0.712393421729146,-0.392626162838422,-0.039521202600765,-0.353104960237657
2,0.1,0.1,125,0.0105944717641704,-0.293152028674406,0.922922675743625,-0.251549513334252,0.620209686998668,0.0859381119159197,0.0632771576586989,1.00886078765954,0.683486844657367,-0.325373943002178,-0.0226609542572207,-0.302712988744957
2,0.1,0.1,130,0.0102433797086381,-0.294776793871809,0.880507475074151,-0.242440347555798,0.598061707147956,0.0868933582053431,0.0587773221229759,0.967400833279494,0.656839029270932,-0.310561804008563,-0.0281160360823671,-0.282445767926196
2,0.1,0.1,135,0.009914811048609,-0.278162077824938,0.872875753590503,-0.233970980765322,0.577452390683558,0.0773741415398869,0.0547424198402869,0.95024989513039,0.632194810523845,-0.318055084606545,-0.0226317216996,-0.295423362906945
2,0.1,0.1,140,0.00960666575059199,-0.274799377820644,0.825890203140716,-0.226076005716643,0.558225741984062,0.0755146980506131,0.0511103603607916,0.90140490119133,0.609336102344853,-0.292068798846476,-0.0244043376898215,-0.267664461156655
2,0.1,0.1,145,0.00931709698199963,-0.266983797738034,0.813200049337482,-0.218698671009963,0.540246284719,0.0712803482546234,0.0478291087015242,0.884480397592105,0.588075393420524,-0.296405004171581,-0.0234512395530992,-0.272953764618482
2,0.1,0.1,150,0.00904447406722298,-0.251324786040658,0.796935338767822,-0.211789490190396,0.523395778321835,0.0631641480783824,0.0448547881551077,0.860099486846204,0.568250566476942,-0.291848920369262,-0.0183093599232747,-0.273539560445987
2,0.1,0.1,155,0.00878735176236224,-0.245997360056628,0.743324633552556,-0.20530511151258,0.507570548229335,0.0605147011548302,0.0421501888131929,0.803839334707386,0.549720737042528,-0.254118597664859,-0.0183645123416373,-0.235754085323222
2,0.1,0.1,160,0.00854444462595479,-0.245260052345593,0.748731115228716,-0.199207392951668,0.492679299566713,0.0601524932765632,0.0396835854066002,0.808883608505279,0.532362884973313,-0.276520723531967,-0.020468907869963,-0.256051815662003
2,0.1,0.1,165,0.00831460552615164,-0.238567947129246,0.728061090563896,-0.193462640141928,0.478641314756314,0.0569146653974629,0.0374277931306852,0.784975755961359,0.516069107886999,-0.268906648074359,-0.0194868722667777,-0.249419775807582
2,0.1,0.1,170,0.00809680752587283,-0.21890446283788,0.689972012904609,-0.18804097463379,0.465384958349118,0.0479191638503408,0.0353594081412255,0.73789117675495,0.500744366490343,-0.237146810264607,-0.0125597557091152,-0.224587054555492
2,0.1,0.1,175,0.0078901285423584,-0.216811862615896,0.699435287684186,-0.182915807128227,0.452846429459934,0.047007383770974,0.0334581924973707,0.74644267145516,0.486304621957305,-0.260138049497855,-0.0135491912736034,-0.246588858224251
2,0.1,0.1,180,0.00769373829771969,-0.206617767321588,0.645444330258255,-0.178063395838863,0.44096871509328,0.0426909017729577,0.0317065729376676,0.688135232031213,0.472675288030948,-0.215459944000265,-0.0109843288352901,-0.204475615164974
2,0.1,0.1,185,0.00750688717101422,-0.203136624130858,0.624093397263774,-0.17346247431762,0.429700707484301,0.0412644880632813,0.0300892299963908,0.665357885327056,0.459789937480691,-0.205567947846364,-0.0111752580668905,-0.194392689779474
2,0.1,0.1,190,0.00732889663624439,-0.200681562241422,0.627693171271614,-0.169093936295992,0.418996456139566,0.0402730894236579,0.0285927592920729,0.667966260695272,0.447589215431639,-0.220377045263632,-0.011680330131585,-0.208696715132047
2,0.1,0.1,195,0.00715915102915736,-0.210620307227816,0.624698534214313,-0.16494056758463,0.408814531118303,0.0443609138167396,0.02720539083514,0.669059448031052,0.436019921953443,-0.23303952607761,-0.0171555229815995,-0.21588400309601
2,0.1,0.1,200,0.00699709043228693,-0.19125606680251,0.579859865162928,-0.160986817016592,0.399117478663242,0.036578883088766,0.0259167552531336,0.616438748251694,0.425034233916375,-0.191404514335319,-0.0106621278356324,-0.180742386499687
2,0.1,0.1,250,0.00570553685957536,-0.14809145785936,0.438761581466352,-0.129871808318606,0.322646220867476,0.0219310798909106,0.0168666865959448,0.460692661357263,0.339512907463421,-0.121179753893842,-0.0050643932949659,-0.116115360598876
2,0.1,0.1,260,0.00550240525138185,-0.137205712335339,0.420384777386429,-0.125040420929567,0.310746157475536,0.0188254074974478,0.0156351068662432,0.439210184883877,0.326381264341779,-0.112828920542098,-0.00319030063120466,-0.109638619910894
2,0.1,0.1,270,0.00531324039406373,-0.143499791447323,0.429147424169802,-0.120556076595221,0.299694429948393,0.0205921901454251,0.0145337676040329,0.449739614315227,0.314228197552426,-0.1355114167628,-0.00605842254139227,-0.129452994221408
2,0.1,0.1,280,0.00513664969205276,-0.123332347467113,0.378462685766727,-0.116382634122625,0.289403278750426,0.0152108679317486,0.0135449175253208,0.393673553698476,0.302948196275747,-0.0907253574227294,-0.00166595040642779,-0.0890594070163016
2,0.1,0.1,290,0.00497141973156225,-0.131749258183802,0.373114021303446,-0.112488807863648,0.279796666278677,0.0173578670319822,0.0126537318945848,0.390471888335428,0.292450398173262,-0.0980214901621663,-0.00470413513739745,-0.0933173550247688
2,0.1,0.1,300,0.00481648836011293,-0.115514198832372,0.342877575590112,-0.108847377955897,0.27080837993009,0.0133435301318849,0.0118477516878738,0.356221105721997,0.282656131617964,-0.0735649741040328,-0.00149577844401104,-0.0720691956600218
2,0.1,0.1,310,0.00467092182902543,-0.119887163619873,0.32902277607299,-0.105434549998538,0.262380492523369,0.0143729320008181,0.0111164443333941,0.343395708073808,0.273496936856763,-0.0698987712170446,-0.00325648766742396,-0.0666422835496207
2,0.1,0.1,320,0.00453389595919116,-0.0962232877389408,0.327212576883998,-0.10222943215484,0.254462103821473,0.009258921103291,0.010450856798701,0.336471497987289,0.264912960620174,-0.0715585373671154,0.00119193569540999,-0.0727504730625254
2,0.1,0.1,330,0.00440468052748137,-0.113918487641578,0.316148746627124,-0.0992136052822984,0.247008304969305,0.0129774218265445,0.00984333947311172,0.329126168453668,0.256851644442417,-0.0722745240112513,-0.00313408235343274,-0.0691404416578186
2,0.1,0.1,340,0.00428262624908417,-0.102747523481323,0.279955705266278,-0.096370767322552,0.239979321046319,0.0105570535815451,0.00928732479433746,0.290512758847823,0.249266645840657,-0.0412461130071667,-0.0012697287872076,-0.0399763842199591
2,0.1,0.1,350,0.00416715386581177,-0.100937118174457,0.303194667029363,-0.0936864373924161,0.233339796947936,0.0101883018253643,0.00877714855128311,0.313382968854728,0.242116945499219,-0.0712660233555082,-0.00141115327408115,-0.069854870081427
2,0.1,0.1,360,0.00405774495333128,-0.122248993690624,0.284222287500643,-0.0911477081927297,0.227058199371481,0.0149448164583701,0.00830790470878701,0.299167103959013,0.235366104080268,-0.0638009998787445,-0.00663691174958312,-0.0571640881291614
2,0.1,0.1,370,0.00395393413948782,-0.102015740117041,0.276907770400904,-0.0887430377681106,0.221106313441961,0.0104072112316276,0.0078753267523123,0.287314981632532,0.228981640194273,-0.0583333414382589,-0.00253188447931532,-0.0558014569589436
2,0.1,0.1,380,0.00385530248732032,-0.0904980545603504,0.259390196223485,-0.0864620735046168,0.215458816935837,0.00818989787920816,0.00747569015471776,0.267580094102693,0.222934507090555,-0.0446455870121382,-0.000714207724490398,-0.0439313792876478
2,0.1,0.1,390,0.00376147184434522,-0.094811992989777,0.262745061659026,-0.0842955026856157,0.210092918483371,0.00898931401469353,0.00710573177302065,0.27173437567372,0.217198650256392,-0.0545357254173279,-0.00188358224167288,-0.052652143175655
2,0.1,0.1,400,0.00367209999739985,-0.0974084854237932,0.253656302341302,-0.0822349250423479,0.204988048797548,0.00948841303255733,0.00676258289672058,0.263144715373859,0.211750631694269,-0.0513940836795909,-0.00272583013583675,-0.0486682535437542
2,0.1,0.1,410,0.00358687650217516,-0.0861442927896177,0.234221877493015,-0.0802727436108681,0.200125596070878,0.00742083918022337,0.00644371336681616,0.241642716673239,0.206569309437694,-0.0350734072355447,-0.00097712581340721,-0.0340962814221374
2,0.1,0.1,420,0.00350551908031498,-0.0929957395428953,0.243421879840349,-0.0784020708977352,0.195488678334693,0.00864820757313002,0.0061468847210535,0.252070087413479,0.201635563055747,-0.0504345243577322,-0.00250132285207652,-0.0479332015056556
2,0.1,0.1,430,0.00342777049596559,-0.0809850781734555,0.224321694505458,-0.0766166479052625,0.191061946889377,0.00655858288676069,0.00587011073623897,0.230880277392219,0.196932057625616,-0.0339482197666027,-0.000688472150521725,-0.033259747616081
2,0.1,0.1,440,0.00335339583895518,-0.0708944732727725,0.216519552744675,-0.0749107740051617,0.186831415964102,0.00502602634062386,0.00561162406205241,0.221545579085299,0.192443040026155,-0.029102539059144,0.000585597721428548,-0.0296881367805726
2,0.1,0.1,450,0.00328218015415397,-0.0885145346977479,0.216888266233834,-0.0732792460011966,0.182784314608655,0.00783482285275883,0.00536984789450389,0.224723089086593,0.188154162503159,-0.0365689265834339,-0.00246497495825494,-0.0341039516251789
2,0.1,0.1,460,0.00321392636662287,-0.0826794240312646,0.195542548699951,-0.0717173050054701,0.178908957501804,0.00683588715814165,0.00514337183724763,0.202378435858093,0.184052329339052,-0.0183261065190406,-0.00169251532089403,-0.0166335911981466
2,0.1,0.1,470,0.00314845346037069,-0.0740585665651402,0.193204240939249,-0.0702205899834134,0.17519463191436,0.0054846712816833,0.00493093125761866,0.198688912220932,0.180125563171979,-0.0185633490489531,-0.00055374002406464,-0.0180096090248884
2,0.1,0.1,480,0.003085594875277,-0.0686407124044389,0.196057819322661,-0.0687850970104286,0.171631498516782,0.0047115473993889,0.00473138957073407,0.200769366722049,0.176362888087516,-0.0244064786345338,1.98421713451776e-05,-0.024426320805879
2,0.1,0.1,490,0.0030251970922879,-0.0659591646260524,0.187573377865896,-0.0674071434370149,0.168210504091416,0.00435061139816669,0.0045437229863383,0.191923989264063,0.172754227077754,-0.019169762186309,0.000193111588171612,-0.0193628737744806
2,0.1,0.1,500,0.00296711838158296,-0.0653316171192111,0.186683459107044,-0.0660833362857931,0.164923304514197,0.0042682201954112,0.00436700733466122,0.190951679302455,0.169290311848858,-0.0216613674535969,9.87871392500285e-05,-0.0217601545928469
2,0.1,0.1,550,0.00270724551348798,-0.0707808170441764,0.167320113354928,-0.0601747511986436,0.150243849997365,0.00500992406144117,0.00362100068181865,0.172330037416369,0.153864850679184,-0.0184651867371855,-0.00138892337962252,-0.017076263357563
