"n","lambda","mse"
150,0.0270385189275279,0.3034775829224
150,0.0274039043184404,0.306821587540379
150,0.027769289709353,0.310223589387387
150,0.0281346751002655,0.313682329049073
150,0.0285000604911781,0.317196583130488
150,0.0288654458820906,0.320765162837907
150,0.0292308312730031,0.32438691263385
150,0.0295962166639157,0.328060708960604
150,0.0299616020548282,0.33178545902784
150,0.0303269874457407,0.335560099660322
150,0.0306923728366533,0.339383596201969
150,0.0310577582275658,0.343254941472827
150,0.0314231436184784,0.34717315477575
150,0.0317885290093909,0.351137280949843
150,0.0321539144003034,0.355146389467903
150,0.032519299791216,0.359199573575311
150,0.0328846851821285,0.363295949468005
150,0.0332500705730411,0.367434655507304
150,0.0336154559639536,0.371614851469548
150,0.0339808413548661,0.375835717828608
150,0.0343462267457787,0.380096455069484
150,0.0347116121366912,0.384396283031315
150,0.0350769975276038,0.388734440278226
150,0.0354423829185163,0.393110183496551
150,0.0358077683094288,0.397522786917061
150,0.0361731537003414,0.40197154176089
200,0,NA
200,0.000275453186373736,0.343463655326147
200,0.000550906372747471,0.318291750148533
200,0.000826359559121207,0.303047355273019
200,0.00110181274549494,0.291661015669796
200,0.00137726593186868,0.282362225635702
200,0.00165271911824241,0.274398189330925
200,0.00192817230461615,0.267380224859041
200,0.00220362549098989,0.261081502920032
200,0.00247907867736362,0.255357811579345
200,0.00275453186373736,0.250111415634816
200,0.00302998505011109,0.24527269539922
200,0.00330543823648483,0.240790030959695
200,0.00358089142285856,0.236623864202079
200,0.0038563446092323,0.232743030190777
200,0.00413179779560604,0.229122392740309
200,0.00440725098197977,0.225741265324362
200,0.00468270416835351,0.222582323879427
200,0.00495815735472724,0.219630838268466
200,0.00523361054110098,0.216874116301188
200,0.00550906372747471,0.214301093214068
200,0.00578451691384845,0.211902022973608
200,0.00605997010022219,0.209668242310887
200,0.00633542328659592,0.207591987658021
200,0.00661087647296966,0.205666251199295
200,0.00688632965934339,0.203884666276928
200,0.00716178284571713,0.202241415128643
200,0.00743723603209086,0.200731153827797
200,0.0077126892184646,0.199348950628298
200,0.00798814240483834,0.198090234866697
200,0.00826359559121207,0.196950754261256
200,0.00853904877758581,0.195926538951513
200,0.00881450196395954,0.195013870995222
200,0.00908995515033328,0.194209258319432
200,0.00936540833670702,0.193509412334355
200,0.00964086152308075,0.192911228580653
200,0.00991631470945449,0.192411769905726
200,0.0101917678958282,0.192008251761718
200,0.010467221082202,0.191698029294184
200,0.0107426742685757,0.191478585950492
200,0.0110181274549494,0.191347523384931
200,0.0112935806413232,0.191302552475809
200,0.0115690338276969,0.191341485300724
200,0.0118444870140706,0.191462227941219
200,0.0121199402004444,0.191662774008495
200,0.0123953933868181,0.191941198798549
200,0.0126708465731918,0.192295653998954
200,0.0129462997595656,0.192724362880899
200,0.0132217529459393,0.193225615919638
200,0.0134972061323131,0.193797766794441
200,0.0137726593186868,0.194439228725844
200,0.0140481125050605,0.195148471113586
200,0.0143235656914343,0.195924016443448
200,0.014599018877808,0.196764437435204
200,0.0148744720641817,0.197668354407405
200,0.0151499252505555,0.198634432837632
200,0.0154253784369292,0.199661381099442
200,0.0157008316233029,0.200747948359381
200,0.0159762848096767,0.201892922619381
200,0.0162517379960504,0.20309512889144
200,0.0165271911824241,0.204353427492993
200,0.0168026443687979,0.205666712452559
200,0.0170780975551716,0.207033910016378
200,0.0173535507415454,0.208453977247713
200,0.0176290039279191,0.209925900711315
200,0.0179044571142928,0.211448695236297
200,0.0181799103006666,0.213021402751339
200,0.0184553634870403,0.214643091186696
200,0.018730816673414,0.216312853438022
200,0.0190062698597878,0.218029806387481
200,0.0192817230461615,0.219793089977997
200,0.0195571762325352,0.22160186633691
200,0.019832629418909,0.223455318945589
200,0.0201080826052827,0.225352651851863
200,0.0203835357916564,0.22729308892241
200,0.0206589889780302,0.229275873132457
200,0.0209344421644039,0.231300265890372
200,0.0212098953507776,0.233365546394924
200,0.0214853485371514,0.23547101102316
200,0.0217608017235251,0.237615972746998
200,0.0220362549098989,0.239799760576809
200,0.0223117080962726,0.242021719030342
200,0.0225871612826463,0.244281207625527
200,0.0228626144690201,0.246577600395741
200,0.0231380676553938,0.248910285426274
200,0.0234135208417675,0.251278664410775
200,0.0236889740281413,0.253682152226586
200,0.023964427214515,0.256120176527911
200,0.0242398804008887,0.258592177355868
200,0.0245153335872625,0.261097606764511
200,0.0247907867736362,0.263635928461984
200,0.02506623996001,0.266206617466027
200,0.0253416931463837,0.268809159773084
200,0.0256171463327574,0.271443052040334
200,0.0258925995191312,0.274107801279993
200,0.0261680527055049,0.27680292456528
200,0.0264435058918786,0.279527948747486
200,0.0267189590782524,0.282282410183591
200,0.0269944122646261,0.28506585447395
200,0.0272698654509998,0.28787783620955
250,0,NA
250,0.000221046959719411,0.232160927789111
250,0.000442093919438822,0.22337708953914
250,0.000663140879158233,0.217419637790355
250,0.000884187838877644,0.212599458977235
250,0.00110523479859705,0.208421371122376
250,0.00132628175831647,0.204673659274516
250,0.00154732871803588,0.201246264331529
250,0.00176837567775529,0.198074414495237
250,0.0019894226374747,0.195116507753667
250,0.00221046959719411,0.192344008934361
250,0.00243151655691352,0.18973630972538
250,0.00265256351663293,0.187277892965986
250,0.00287361047635234,0.184956665699942
250,0.00309465743607175,0.182762927753606
250,0.00331570439579116,0.180688705918239
250,0.00353675135551057,0.178727308509088
250,0.00375779831522999,0.17687301809908
250,0.0039788452749494,0.175120873859842
250,0.00419989223466881,0.173466513739714
250,0.00442093919438822,0.171906057637761
250,0.00464198615410763,0.170436019310674
250,0.00486303311382704,0.169053238830175
250,0.00508408007354645,0.167754830009003
250,0.00530512703326586,0.166538138911044
250,0.00552617399298527,0.165400710693281
250,0.00574722095270468,0.164340262797265
250,0.00596826791242409,0.163354663040862
250,0.00618931487214351,0.162441911536095
250,0.00641036183186292,0.161600125626779
250,0.00663140879158233,0.160827527233551
250,0.00685245575130174,0.160122432136136
250,0.00707350271102115,0.15948324082818
250,0.00729454967074056,0.158908430659115
250,0.00751559663045997,0.158396549037527
250,0.00773664359017938,0.157946207516358
250,0.00795769054989879,0.157556076615707
250,0.0081787375096182,0.1572248812666
250,0.00839978446933761,0.156951396780712
250,0.00862083142905702,0.156734445268162
250,0.00884187838877644,0.15657289243913
250,0.00906292534849585,0.156465644735977
250,0.00928397230821526,0.156411646751347
250,0.00950501926793467,0.156409878894932
250,0.00972606622765408,0.156459355277371
250,0.00994711318737349,0.156559121784615
250,0.0101681601470929,0.156708254320001
250,0.0103892071068123,0.156905857194596
250,0.0106102540665317,0.157151061649103
250,0.0108313010262511,0.157443024492918
250,0.0110523479859705,0.157780926847852
250,0.01127339494569,0.158163972985672
250,0.0114944419054094,0.15859138925
250,0.0117154888651288,0.159062423054265
250,0.0119365358248482,0.159576341948452
250,0.0121575827845676,0.160132432748213
250,0.012378629744287,0.160730000720676
250,0.0125996767040064,0.161368368821923
250,0.0128207236637258,0.162046876981664
250,0.0130417706234452,0.162764881431127
250,0.0132628175831647,0.163521754070584
250,0.0134838645428841,0.164316881873338
250,0.0137049115026035,0.165149666323286
250,0.0139259584623229,0.166019522883475
250,0.0141470054220423,0.166925880493325
250,0.0143680523817617,0.167868181092401
250,0.0145890993414811,0.168845879168812
250,0.0148101463012005,0.169858441330521
250,0.0150311932609199,0.170905345897952
250,0.0152522402206394,0.171986082516475
250,0.0154732871803588,0.173100151787434
250,0.0156943341400782,0.174247064916521
250,0.0159153810997976,0.175426343378375
250,0.016136428059517,0.176637518596399
250,0.0163574750192364,0.177880131636857
250,0.0165785219789558,0.17915373291638
250,0.0167995689386752,0.180457881922101
250,0.0170206158983946,0.181792146943658
250,0.017241662858114,0.183156104816416
250,0.0174627098178335,0.184549340675245
250,0.0176837567775529,0.185971447718288
250,0.0179048037372723,0.187422026980171
250,0.0181258506969917,0.188900687114146
250,0.0183468976567111,0.190407044182687
250,0.0185679446164305,0.191940721456122
250,0.0187889915761499,0.193501349218859
250,0.0190100385358693,0.195088564582857
250,0.0192310854955887,0.196702011307944
250,0.0194521324553082,0.198341339628683
250,0.0196731794150276,0.200006206087442
250,0.019894226374747,0.201696273373386
250,0.0201152733344664,0.203411210167113
250,0.0203363202941858,0.205150690990661
250,0.0205573672539052,0.206914396062657
250,0.0207784142136246,0.208702011158359
250,0.020999461173344,0.210513227474387
250,0.0212205081330634,0.212347741497925
250,0.0214415550927829,0.214205254880206
250,0.0216626020525023,0.216085474314097
250,0.0218836490122217,0.217988111415603
300,0,NA
300,0.000184588000184669,0.185055533022496
300,0.000369176000369338,0.181325818535379
300,0.000553764000554008,0.178364472800236
300,0.000738352000738677,0.175740498469051
300,0.000922940000923346,0.17332656142284
300,0.00110752800110802,0.171067555071182
300,0.00129211600129268,0.168934333150633
300,0.00147670400147735,0.166909350720884
300,0.00166129200166202,0.164981023819362
300,0.00184588000184669,0.163141149531417
300,0.00203046800203136,0.161383591149937
300,0.00221505600221603,0.159703551174874
300,0.0023996440024007,0.158097142755314
300,0.00258423200258537,0.156561123597299
300,0.00276882000277004,0.155092723464863
300,0.00295340800295471,0.15368952819216
300,0.00313799600313938,0.152349399199983
300,0.00332258400332405,0.15107041609329
300,0.00350717200350872,0.149850834715727
300,0.00369176000369338,0.148689055829563
300,0.00387634800387805,0.147583601271255
300,0.00406093600406272,0.1465330954771
300,0.00424552400424739,0.145536250939563
300,0.00443011200443206,0.144591856590117
300,0.00461470000461673,0.143698768395177
300,0.0047992880048014,0.14285590164967
300,0.00498387600498607,0.142062224590133
300,0.00516846400517074,0.141316753045981
300,0.00535305200535541,0.140618545916895
300,0.00553764000554008,0.139966701314533
300,0.00572222800572475,0.139360353243714
300,0.00590681600590942,0.138798668725768
300,0.00609140400609409,0.138280845287378
300,0.00627599200627875,0.137806108754016
300,0.00646058000646342,0.137373711299146
300,0.00664516800664809,0.136982929709722
300,0.00682975600683276,0.136633063835833
300,0.00701434400701743,0.136323435198142
300,0.0071989320072021,0.1360533857313
300,0.00738352000738677,0.135822276645247
300,0.00756810800757144,0.135629487389222
300,0.00775269600775611,0.135474414705724
300,0.00793728400794078,0.135356471763627
300,0.00812187200812545,0.135275087361257
300,0.00830646000831012,0.13522970519157
300,0.00849104800849479,0.135219783162665
300,0.00867563600867946,0.135244792767819
300,0.00886022400886412,0.135304218499963
300,0.00904481200904879,0.135397557306209
300,0.00922940000923346,0.135524318078562
300,0.00941398800941813,0.135684021177452
300,0.0095985760096028,0.135876197985094
300,0.00978316400978747,0.136100390486042
300,0.00996775200997214,0.136356150872617
300,0.0101523400101568,0.136643041173107
300,0.0103369280103415,0.13696063290091
300,0.0105215160105261,0.137308506722931
300,0.0107061040107108,0.137686252145772
300,0.0108906920108955,0.138093467218343
300,0.0110752800110802,0.138529758249713
300,0.0112598680112648,0.138994739541078
300,0.0114444560114495,0.139488033130873
300,0.0116290440116342,0.140009268552114
300,0.0118136320118188,0.140558082601153
300,0.0119982200120035,0.141134119117091
300,0.0121828080121882,0.141737028771168
300,0.0123673960123728,0.142366468865493
300,0.0125519840125575,0.14302210314055
300,0.0127365720127422,0.143703601590926
300,0.0129211600129268,0.144410640288802
300,0.0131057480131115,0.145142901214729
300,0.0132903360132962,0.145900072095284
300,0.0134749240134809,0.146681846247216
300,0.0136595120136655,0.147487922427733
300,0.0138441000138502,0.14831800469058
300,0.0140286880140349,0.149171802247615
300,0.0142132760142195,0.150049029335588
300,0.0143978640144042,0.150949405087855
300,0.0145824520145889,0.151872653410778
300,0.0147670400147735,0.152818502864581
300,0.0149516280149582,0.153786686548429
300,0.0151362160151429,0.154776941989549
300,0.0153208040153275,0.155789011036177
300,0.0155053920155122,0.156822639754167
300,0.0156899800156969,0.157877578327084
300,0.0158745680158816,0.158953580959624
300,0.0160591560160662,0.160050405784223
300,0.0162437440162509,0.161167814770685
300,0.0164283320164356,0.162305573638731
300,0.0166129200166202,0.163463451773316
300,0.0167975080168049,0.164641222142614
300,0.0169820960169896,0.165838661218544
300,0.0171666840171742,0.167055548899746
300,0.0173512720173589,0.16829166843689
300,0.0175358600175436,0.169546806360242
300,0.0177204480177282,0.170820752409377
300,0.0179050360179129,0.172113299464973
300,0.0180896240180976,0.173424243482587
300,0.0182742120182823,0.174753383428349
350,0,0.145369951205371
350,0.000158453119678526,0.143934659834123
350,0.000316906239357053,0.142544435981962
350,0.000475359359035579,0.141198457899254
350,0.000633812478714106,0.139895937647267
350,0.000792265598392632,0.138636118163116
350,0.000950718718071159,0.13741827072519
350,0.00110917183774969,0.136241692748833
350,0.00126762495742821,0.135105705856496
350,0.00142607807710674,0.134009654177704
350,0.00158453119678526,0.132952902842759
350,0.00174298431646379,0.131934836640878
350,0.00190143743614232,0.130954858818733
350,0.00205989055582084,0.130012389999605
350,0.00221834367549937,0.129106867206717
350,0.0023767967951779,0.128237742977048
350,0.00253524991485642,0.127404484554096
350,0.00269370303453495,0.126606573149896
350,0.00285215615421348,0.125843503268034
350,0.003010609273892,0.125114782080628
350,0.00316906239357053,0.124419928853255
350,0.00332751551324906,0.123758474412634
350,0.00348596863292758,0.123129960652589
350,0.00364442175260611,0.122533940074385
350,0.00380287487228463,0.121969975358059
350,0.00396132799196316,0.121437638961773
350,0.00411978111164169,0.120936512746573
350,0.00427823423132021,0.120466187624269
350,0.00443668735099874,0.120026263226391
350,0.00459514047067727,0.119616347592434
350,0.00475359359035579,0.119236056875767
350,0.00491204671003432,0.118885015065789
350,0.00507049982971285,0.118562853725047
350,0.00522895294939137,0.118269211740159
350,0.0053874060690699,0.118003735085507
350,0.00554585918874843,0.11776607659877
350,0.00570431230842695,0.117555895767448
350,0.00586276542810548,0.117372858525606
350,0.006021218547784,0.117216637060148
350,0.00617967166746253,0.117086909625976
350,0.00633812478714106,0.116983360369469
350,0.00649657790681958,0.116905679159732
350,0.00665503102649811,0.11685356142715
350,0.00681348414617664,0.116826708008787
350,0.00697193726585516,0.116824825000219
350,0.00713039038553369,0.116847623613439
350,0.00728884350521222,0.116894820040458
350,0.00744729662489074,0.11696613532231
350,0.00760574974456927,0.117061295223138
350,0.0077642028642478,0.117180030109098
350,0.00792265598392632,0.117322074831814
350,0.00808110910360485,0.117487168616157
350,0.00823956222328338,0.117675054952115
350,0.0083980153429619,0.117885481490548
350,0.00855646846264043,0.118118199942641
350,0.00871492158231895,0.118372965982864
350,0.00887337470199748,0.118649539155276
350,0.00903182782167601,0.118947682783014
350,0.00919028094135453,0.119267163880818
350,0.00934873406103306,0.119607753070445
350,0.00950718718071159,0.119969224498852
350,0.00966564030039011,0.120351355759016
350,0.00982409342006864,0.120753927813281
350,0.00998254653974717,0.121176724919111
350,0.0101409996594257,0.121619534557163
350,0.0102994527791042,0.122082147361565
350,0.0104579058987827,0.122564357052318
350,0.0106163590184613,0.123065960369728
350,0.0107748121381398,0.123586757010788
350,0.0109332652578183,0.124126549567438
350,0.0110917183774969,0.124685143466612
350,0.0112501714971754,0.125262346912023
350,0.0114086246168539,0.125857970827595
350,0.0115670777365324,0.126471828802509
350,0.011725530856211,0.127103737037767
350,0.0118839839758895,0.127753514294249
350,0.012042437095568,0.128420981842184
350,0.0122008902152465,0.129105963412001
350,0.0123593433349251,0.1298082851465
350,0.0125177964546036,0.130527775554291
350,0.0126762495742821,0.131264265464477
350,0.0128347026939606,0.132017587982507
350,0.0129931558136392,0.132787578447194
350,0.0131516089333177,0.133574074388819
350,0.0133100620529962,0.13437691548832
350,0.0134685151726747,0.135195943537506
350,0.0136269682923533,0.13603100240027
350,0.0137854214120318,0.136881937974769
350,0.0139438745317103,0.137748598156538
350,0.0141023276513889,0.138630832802503
350,0.0142607807710674,0.139528493695878
350,0.0144192338907459,0.140441434511897
350,0.0145776870104244,0.141369510784377
350,0.014736140130103,0.142312579873064
350,0.0148945932497815,0.143270500931764
350,0.01505304636946,0.1442431348772
350,0.0152114994891385,0.145230344358614
350,0.0153699526088171,0.146231993728051
350,0.0155284057284956,0.147247949011338
350,0.0156868588481741,0.148278077879715
400,0,0.115652554042417
400,0.000138800990137359,0.114739269920779
400,0.000277601980274718,0.113854164829257
400,0.000416402970412077,0.112996905395373
400,0.000555203960549436,0.11216716461296
400,0.000694004950686794,0.111364621641914
400,0.000832805940824153,0.110588961617741
400,0.000971606930961512,0.109839875470233
400,0.00111040792109887,0.109117059750651
400,0.00124920891123623,0.10842021646685
400,0.00138800990137359,0.10774905292584
400,0.00152681089151095,0.107103281583298
400,0.00166561188164831,0.10648261989961
400,0.00180441287178567,0.105886790202038
400,0.00194321386192302,0.105315519552642
400,0.00208201485206038,0.104768539621628
400,0.00222081584219774,0.104245586565805
400,0.0023596168323351,0.103746400911856
400,0.00249841782247246,0.103270727444162
400,0.00263721881260982,0.102818315096932
400,0.00277601980274718,0.102388916850396
400,0.00291482079288454,0.101982289630863
400,0.0030536217830219,0.101598194214433
400,0.00319242277315925,0.101236395134173
400,0.00333122376329661,0.100896660590595
400,0.00347002475343397,0.100578762365264
400,0.00360882574357133,0.100282475737387
400,0.00374762673370869,0.100007579403239
400,0.00388642772384605,0.099753855398292
400,0.00402522871398341,0.0995210890219217
400,0.00416402970412077,0.0993090687645781
400,0.00430283069425813,0.0991175862373003
400,0.00444163168439548,0.0989464361034789
400,0.00458043267453284,0.0987954160127636
400,0.0047192336646702,0.0986643265370246
400,0.00485803465480756,0.0985529711082791
400,0.00499683564494492,0.0984611559585025
400,0.00513563663508228,0.0983886900612424
400,0.00527443762521964,0.0983353850749654
400,0.005413238615357,0.0983010552880637
